Display,Location
"800 El Terino Avenue, Modesto",[-120.97912209   37.65510627]
"1300 Nelson Avenue, Modesto",[-120.98832356   37.66338462]
"500 Grimes Avenue, Modesto",[-121.03260102   37.62962731]
"1000 Carlos Court, Modesto",[-121.01763732   37.63035814]
"Yvonne Lane, Modesto",[-121.01853347   37.61778473]
"400 San Juan Drive, Modesto",[-120.97179206   37.64376022]
"3200 Trudi Way, Modesto",[-120.9356635   37.644587 ]
"600 Waddell Way, Modesto",[-120.92597425   37.64563233]
"600 Empire Avenue, Modesto",[-120.9633652    37.62694316]
"100 Pueblo Avenue, Shackelford, Modesto",[-121.00387424   37.61046955]
"6400 Everest Way, Sacramento",[-121.34936007   38.67875179]
"5900 Crowder Way, Hillsdale, Sacramento",[-121.36155354   38.67217985]
"2700 Alexa Way, Sherwoods Manor, Stockton",[-121.35524265   38.0253701 ]
"6200 Raymond Court, Stockton",[-121.251793    38.0215033]
"5900 Carpenter Road, Stockton",[-121.20115156   37.9384819 ]
"12600 West Highway 12, Acampo",[-121.47639636   38.15991893]
"1300 Holly Avenue, Los Altos",[-122.07661684   37.35924977]
"4100 Coulombe Drive, Green Acres, Palo Alto",[-122.13216495   37.40927809]
"3000 Waverley Street, Midtown, Palo Alto",[-122.13027736   37.42631257]
"300 Waverley Street, Downtown North, Palo Alto",[-122.16333482   37.44906771]
"26200 Catharine Court, Los Altos Hills",[-122.12615764   37.37625755]
"200 Poplar Street, Lodi",[-121.26885055   38.12105073]
"Reservoir Road, Stanford",[-122.16420925   37.40817889]
"1900 Maple Glen Road, Arden Oaks, Sacramento",[-121.37463815   38.60344623]
"3200 Green Crest Court, Norwood Estates, Sacramento",[-121.37540918   38.62474227]
"2600 Morse Avenue, Sacramento",[-121.39265487   38.6132346 ]
"3200 Del Paso Boulevard, North Sacramento, Sacramento",[-121.43155845   38.62204265]
"100 Commerce Circle, North Sacramento, Sacramento",[-121.45850392   38.60157371]
"3000 Azevedo Drive, North Sacramento, Sacramento",[-121.50759413   38.6182544 ]
"3600 Trefethen Way, North Sacramento, Sacramento",[-121.54329768   38.63692408]
"Metro Air Parkway, North Natomas, Sacramento",[-121.57407693   38.69769202]
"Dry Creek Bikeway, Rio Linda",[-121.42801071   38.70766479]
"3700 Myrtle Avenue, North Highlands",[-121.39510637   38.64073586]
"4100 West Turner Road, Lodi",[-121.34380536   38.15177708]
"700 Golden Avenue, Lodi",[-121.25878539   38.14577329]
"5800 Southgrove Drive, Skycrest Terrace, Citrus Heights",[-121.28975009   38.67268173]
"1700 Creekside Drive, Folsom",[-121.14187047   38.67017788]
"21700 East Kettleman Lane, Lodi",[-121.10628702   38.09591405]
"1900 California Street, Escalon",[-120.99545766   37.79691319]
"500 San Juan Street, Manteca",[-121.22326236   37.80241621]
"April Trail, Almaden, San Jose",[-121.86978117   37.19884554]
"8400 Cranford Way, Golden Oaks, Citrus Heights",[-121.25162029   38.69035175]
"100 Tomlinson Drive, Folsom",[-121.17604141   38.70217581]
"700 Ward Way, The Enclave, Folsom",[-121.16499957   38.66694329]
"21800 Fortini Road, Almaden, San Jose",[-121.8081047    37.19734127]
"5700 Beswick Drive, South San Jose, San Jose",[-121.81693244   37.24853506]
"400 Fieldcrest Drive, South San Jose, San Jose",[-121.81103972   37.23099189]
"100 Carling Court, South San Jose, San Jose",[-121.81428743   37.26705557]
"8400 Zachis Way, Antelope Village, Antelope",[-121.3561609   38.7227217]
"5500 Foothill Garden Court, Foothill Gardens, Sacramento",[-121.34268395   38.66878   ]
"9100 River Look Lane, Phoenix-sunset, Fair Oaks",[-121.21278043   38.653763  ]
"7700 Magnolia Avenue, Fair Oaks",[-121.28277691   38.63883074]
"8100 Glen Creek Way, Hillcrest, Citrus Heights",[-121.25915811   38.71463372]
"7100 Stanford Oak Drive, Larchmont Foothills, Sacramento",[-121.33080918   38.69620595]
"6800 San Dimas Court, Citrus Heights",[-121.30757129   38.68292476]
"Butterfield Boulevard, Morgan Hill",[-121.63046293   37.11151286]
"16600 Glen Kanyon Court, Morgan Hill",[-121.65494365   37.11629665]
"300 Heidi Court, Morgan Hill",[-121.66447018   37.12484036]
"Levee, Gilroy",[-121.57128479   36.98652508]
"5000 Cleveland Bay Way, Elk Grove",[-121.44140628   38.40072422]
"800 Frewert Road, Lathrop",[-121.30324755   37.82308541]
"500 Mulberry Circle, Manteca",[-121.2293217   37.7934455]
"400 Monte Vista, Tracy",[-121.43549568   37.71861384]
"300 Derecho Way, Tracy",[-121.421808     37.75245453]
"Lauriana Lane, Tracy",[-121.44435062   37.73386462]
"600 Choctaw Drive, South San Jose, San Jose",[-121.83627348   37.23758814]
"300 Kalana Avenue, Morgan Hill",[-121.73342312   37.17671193]
"18300 Castle Hill Drive, Morgan Hill",[-121.6734414    37.11864317]
"1900 Alpet Drive, Morgan Hill",[-121.62098173   37.15502671]
"Gold Rush Drive, Gold River",[-121.23976947   38.62681311]
"2500 Sarda Way, Rancho Cordova",[-121.2969942    38.59813413]
"10900 Glenhaven Way, Walnut Woods, Rancho Cordova",[-121.27695086   38.607762  ]
"Jedediah Smith Memorial Trail, Rancho Cordova",[-121.3281989    38.58573697]
"1900 Lewitt Drive, Rancho Cordova",[-121.29590619   38.61378838]
"9900 Vanguard Drive, Lincoln Village, Sacramento",[-121.32631619   38.56540506]
"11100 Jackson Road, Sacramento",[-121.31334876   38.54722176]
"3400 Skyward Court, Ellenwood Court, Sacramento",[-121.31761686   38.57216782]
"9500 River Rose Way, Premier Garden, Sacramento",[-121.34150085   38.55596731]
"9200 Caspiane Way, College Greens East, Sacramento",[-121.36657995   38.5653465 ]
"3500 Mignon Street, Sacramento",[-121.35553116   38.55038153]
"8700 Leo Virgo Court, Elk Grove",[-121.37811142   38.40121292]
"9400 Rogers Road, Sacramento",[-121.35606337   38.46877906]
"900 Bateman Court, River Oaks, Galt",[-121.28529356   38.28292711]
"Great Meadow Bike Path, Santa Cruz",[-122.05795403   36.98944348]
"400 Frederick Street, Seabright, Santa Cruz",[-122.00398272   36.97172744]
"900 Freedom Boulevard, Watsonville",[-121.76988115   36.92217363]
"6500 Brockenhurst Drive, Elk Grove",[-121.43226987   38.43798547]
"6500 Angus Ranch Way, Paso Robles",[-120.9709948    35.68476337]
"100 Holm Road, Watsonville",[-121.78214569   36.93177254]
"9300 Newington Way, Elk Grove",[-121.42911486   38.416849  ]
"2600 Highway 9, Felton",[-122.05975639   37.02809178]
"1500 Nelson Road, Scotts Valley",[-122.01218829   37.07827397]
"8100 Dunes Court, Sacramento",[-121.40181853   38.459495  ]
"8200 Grant Line Road, Elk Grove",[-121.27974435   38.41327703]
"12500 Blake Road, Wilton",[-121.15165627   38.40644974]
"5400 Kevinberg Drive, Southwestern Sacramento, Sacramento",[-121.43755822   38.45476017]
"200 Knowles Avenue, Daly City",[-122.46241077   37.7048225 ]
"300 87th Street, St. Francis, Daly City",[-122.47885835   37.69249561]
"4000 Branciforte Drive, Santa Cruz",[-121.99102995   37.02837269]
"200 Minto Road, Watsonville",[-121.75117689   36.94957651]
"300 Thompson Road, Watsonville",[-121.6848586    36.93674823]
"11600 Bruceville Road, Elk Grove",[-121.39927472   38.31490052]
"100 Serramonte Boulevard, Serramonte, Daly City",[-122.46978409   37.66954086]
"4300 Bolsa Road, Hollister",[-121.33984477   36.8883601 ]
"1900 Meridian Street, Hollister",[-121.38991085   36.85449794]
"700 Larch Avenue, Paradise Valley, South San Francisco",[-122.41967828   37.66913787]
"200 9th Lane, Downtown, South San Francisco",[-122.40702833   37.66195233]
"300 Baden Avenue, Downtown, South San Francisco",[-122.41850842   37.65661889]
"500 Forbes Boulevard, The East Side, South San Francisco",[-122.40696738   37.65050192]
"0 Brookhaven Court, Fairmont, Pacifica",[-122.48378761   37.65869377]
"400 Loma Vista Terrace, Sharp Park, Pacifica",[-122.48441503   37.63569934]
"200 Ramona Avenue, Vallemar, Pacifica",[-122.48221783   37.61812153]
"2700 Campus Drive, Beresford Park, San Mateo",[-122.32411054   37.54025479]
"300 East 28th Avenue, South San Mateo, San Mateo",[-122.29957584   37.546162  ]
"1800 Helene Court, East San Mateo, San Mateo",[-122.30311036   37.5702206 ]
"Montara Mountain Trail, Pacifica",[-122.48681713   37.58269379]
"1500 Donner Avenue, San Bruno",[-122.41569286   37.61281586]
"0 Colorados Drive, Millbrae",[-122.40664975   37.59398721]
"1400 Vancouver Avenue, Easton Addition, Burlingame",[-122.37934129   37.58159735]
"400 Williams Place, Central San Mateo, San Mateo",[-122.33536107   37.57221514]
"200 North Fremont Street, Central San Mateo, San Mateo",[-122.32195422   37.57283006]
"1600 54th Avenue, Wentworth Holland, Oakland",[-122.20666062   37.77163385]
"1000 Pensacola Street, Foster City",[-122.26955646   37.54239696]
"200 Cupertino Way, South San Mateo, San Mateo",[-122.28962578   37.5361905 ]
"Highgate Road, Vallejo",[-122.18741365   38.12949028]
"1600 LemonTree Road, West Sacramento",[-121.53574122   38.54915863]
"2600 Somerset Drive, Belmont",[-122.30320479   37.50376477]
"0 Wessex Way, San Carlos",[-122.2785939    37.50176248]
"0 Maloney Court, Oak Knoll - Redwood Park, Redwood City",[-122.25310955   37.47172662]
"1500 Oxford Street, Palm Park, Redwood City",[-122.22584547   37.47137147]
"3900 Farm Hill Boulevard, Farm Hills, Redwood City",[-122.25462772   37.45945006]
"200 Oakhurst Place, Suburban Park - Lorelei Manor - Flood Park Triangle, Menlo Park",[-122.17007767   37.47363678]
"2800 Fordham Street, East Palo Alto",[-122.12949684   37.47685082]
"1900 Buchanan Street, Marysville",[-121.57432441   39.15822395]
"1000 Greenmont Drive, Vallejo",[-122.20035476   38.0897002 ]
"Clipper Drive, Vallejo",[-122.20354979   38.07447471]
"1200 Sacramento Street, Vallejo",[-122.26256713   38.11060867]
"400 Meadows Drive, Vallejo",[-122.27798375   38.14961519]
"Bee Biology Road, Davis",[-121.77739343   38.53756413]
"1100 Halifax Avenue, Stonegate, Davis",[-121.79365767   38.55119193]
"Unnamed Road, Benicia",[-122.12082619   38.10249612]
"700 Mockingbird Place, Northstar, Davis",[-121.75858141   38.57116171]
"1000 Mesquite Drive, Davis",[-121.72272832   38.55610521]
"29300 Lassen Street, Tennyson - Alquire, Hayward",[-122.0615539   37.6266376]
"1700 6th Avenue, Olivehurst",[-121.55309082   39.10020588]
"0 West Cross Street, Woodland",[-121.79112831   38.67210631]
"100 Hays Street, Woodland",[-121.79118485   38.66676308]
"Unnamed Road, Woodland",[-121.75568203   38.67874299]
"1900 Algodon Road, Olivehurst",[-121.56231859   39.00159586]
"6600 B Street, Beale Air Force Base",[-121.39751237   39.11608757]
"Mount Watson Road, Olympic Valley",[-120.16876275   39.16895521]
"33500 7th Street, Union City",[-122.02295144   37.60049944]
"11400 Racetrack Road, Sonora",[-120.39760732   37.98891451]
"0 Sports Parkway, North Sacramento, Sacramento",[-121.5202844    38.64411193]
"1600 Tremont Drive, Santa Cruz",[-121.98965171   36.96555257]
"1600 Cottonwood Street, Woodland",[-121.7951575   38.6595245]
"500 East Pleasant Street, Coalinga",[-120.3547959    36.13898478]
"1100 Park Avenue, Emeryville",[-122.28121468   37.83279058]
"900 Atlantic Avenue, Alameda",[-122.26636222   37.78041761]
"South Jerrold Avenue, Firebaugh",[-120.56361368   36.54746949]
"Unnamed Road, Firebaugh",[-120.63993745   36.89202148]
"California 162, Elk Creek",[-122.48360959   39.61123266]
"Peach Avenue, Glenn",[-121.96465245   39.52610744]
"5800 Christie Avenue, Emeryville",[-122.29469667   37.83877873]
"5100 Diane Lane, Livermore",[-121.72851336   37.68400536]
"Unnamed Road, Avenal",[-120.15978662   35.8768664 ]
"4200 Lakeshore Boulevard, Nice",[-122.85337949   39.10779997]
"Pond Road, Clearlake",[-122.65512829   38.9874913 ]
"22000 Morgan Valley Road, Lower Lake",[-122.54515831   38.88236898]
"500 Buena Vista Avenue, West Alameda, Alameda",[-122.2846938    37.77763967]
"2300 Oregon Street, South Berkeley, Berkeley",[-122.25939127   37.85866336]
"2000 Essex Street, South Berkeley, Berkeley",[-122.26817816   37.85103958]
"Dwight D. Eisenhower Highway, Berkeley",[-122.30195218   37.86424885]
"1700 McGee Avenue, North Berkeley, Berkeley",[-122.27824292   37.87448867]
"1700 Scenic Avenue, Northside, Berkeley",[-122.26043992   37.87774233]
"1300 Ward Street, Southwest Berkeley, Berkeley",[-122.28383108   37.85777342]
"1000 Central Avenue, West Alameda, Alameda",[-122.26978894   37.77145319]
"1300 67th Street, Southwest Berkeley, Berkeley",[-122.281586     37.85022581]
"2600 99th Avenue, Toler Heights, Oakland",[-122.15231013   37.74711433]
"10600 Voltaire Avenue, Las Palmas, Oakland",[-122.15596081   37.74529844]
"1700 105th Avenue, Iveywood, Oakland",[-122.16284562   37.74105269]
"700 Ramona Avenue, Albany",[-122.29130606   37.895304  ]
"1000 Neilson Street, Albany",[-122.28737978   37.88701857]
"1700 Portland Avenue, Berkeley Hills, Berkeley",[-122.2819841   37.8901429]
"1400 Edith Street, North Berkeley, Berkeley",[-122.27803467   37.88111133]
"500 Weldon Avenue, Grand Lake, Oakland",[-122.24179819   37.81478362]
"200 John Street, Piedmont Avenue, Oakland",[-122.24961113   37.8297866 ]
"6400 Gwin Road, Merriewood, Oakland",[-122.21658641   37.84711549]
"6100 Estates Drive, Montclair, Piedmont",[-122.21712324   37.82761629]
"0 Blachford Court, Piedmont Pines, Oakland",[-122.18936442   37.82090878]
"3800 Elston Avenue, Glenview, Oakland",[-122.22058568   37.80545895]
"600 East 18th Street, Clinton, Oakland",[-122.24982208   37.79685292]
"1600 11th Avenue, Clinton, Oakland",[-122.24600855   37.79351673]
"600 East 8th Street, Downtown Oakland, Oakland",[-122.25058952   37.78786571]
"1900 Irving Avenue, Meadow Brook, Oakland",[-122.23133307   37.7854834 ]
"2900 Sheffield Avenue, Reservoir Hills, Oakland",[-122.2220186    37.79512313]
"3200 Suter Street, Upper Peralta Creek, Oakland",[-122.20831723   37.79307154]
"1500 35th Avenue, Fruitvale, Oakland",[-122.21905294   37.77855529]
"4600 Reinhardt Drive, Redwood Heights, Oakland",[-122.18519748   37.78914457]
"6500 Outlook Avenue, Millsmont, Oakland",[-122.17570069   37.77481206]
"6200 Foothill Boulevard, Bancroft Business, Oakland",[-122.18870777   37.7691825 ]
"1100 77th Avenue, Fitchburg, Oakland",[-122.18853837   37.75405653]
"1700 Auseon Avenue, Webster, Oakland",[-122.17301339   37.75306667]
"8600 Dowling Street, Castlemont, Oakland",[-122.16679394   37.75615863]
"1300 Willow Avenue, Hercules",[-122.25490009   38.00762064]
"5400 Sobrante Avenue, El Sobrante",[-122.28576911   37.98099178]
"2600 Brian Road, San Pablo",[-122.31701962   37.99438356]
"27800 Manon Avenue, Harder - Tennyson, Hayward",[-122.070888   37.63564 ]
"200 Revere Avenue, Fairway Prk, Hayward",[-122.03895576   37.61912747]
"30800 San Clemente Street, Hayward",[-122.0605025    37.61758855]
"100 Palm Drive, Union City",[-122.04818118   37.59178282]
"2000 H Street, Union City",[-122.02920018   37.59005245]
"32500 Union City Boulevard, Union City",[-122.08599096   37.58000512]
"Fox Avenue, Centerville, Fremont",[-122.0043553    37.57138274]
"3600 Johnson Court, Northgate, Fremont",[-122.04006152   37.57494562]
"3400 Beard Road, Northgate, Fremont",[-122.03948586   37.58217957]
"7000 Auto Mall Parkway, Fremont",[-122.00856726   37.48945046]
"2700 Provence Court, Livermore",[-121.76408889   37.67322015]
"500 Embarcadero West, Downtown Oakland, Oakland",[-122.27763067   37.79582417]
"Unnamed Road, Ione",[-120.89249135   38.36908781]
"13000 Tabeaud Road, Pine Grove",[-120.65326649   38.39332968]
"1100 Stevenson Boulevard, Central District, Fremont",[-121.96498595   37.5536327 ]
"38000 Glendale Drive, Centerville, Fremont",[-122.00526808   37.54835238]
"1300 Tolteca Court, Weibel, Fremont",[-121.92774173   37.50840253]
"Spring Valley Trail, Fremont",[-121.90486212   37.52724248]
"48800 Semillon Drive, Warm Springs, Fremont",[-121.91318306   37.47292769]
"Lake Boulevard, Newark",[-122.03580175   37.54974287]
"8400 Central Avenue, Newark",[-122.05504533   37.51140802]
"1200 Calla Lane, Chico",[-121.82533985   39.75822259]
"0 Tehan Canyon Road, Pleasanton",[-121.9369202    37.65226251]
"500 Stonebridge Court, Pleasant Hill",[-122.0605939    37.95256642]
"14000 Hamilton Nord Cana Highway, Chico",[-121.95443522   39.74540318]
"1500 Elliott Road, Paradise",[-121.58144613   39.75809953]
"4200 Dublin Boulevard, Dublin",[-121.887489     37.70598707]
"7600 Brighton Drive, Dublin",[-121.931554     37.71079691]
"2800 Louis Avenue, Oroville",[-121.52607491   39.43689355]
"800 West Tower Avenue, Alameda",[-122.30119407   37.78541739]
"Maguire Peaks Loop Trail, Sunol",[-121.80277185   37.5744549 ]
"3100 タンジェマン・トレイル, Paradise",[-121.66282165   39.69795726]
"2400 A Street, Oroville",[-121.54023653   39.49368291]
"2900 South 5th Avenue, Oroville",[-121.57075251   39.47308168]
"Riley Ridge Road, Castro Valley",[-122.09401851   37.7597801 ]
"17900 Lake Chabot Road, Castro Valley",[-122.10640074   37.72207618]
"2700 Jennifer Drive, Castro Valley",[-122.09744707   37.70404223]
"20000 Lake Chabot Road, Castro Valley",[-122.08204406   37.69858675]
"2500 Civic Avenue, Hayward Highland, Hayward",[-122.04628829   37.65476288]
"29200 Bodega Street, Mission - Garin, Hayward",[-122.03541322   37.63695224]
"Lilienthal Road, Livermore",[-121.83766134   37.66113051]
"3400 Croak Road, Pleasanton",[-121.84872256   37.71944571]
"6900 Crane Ridge Road, Livermore",[-121.66804142   37.59432604]
"Biggs-Willows Road, Oroville",[-121.77187574   39.44526571]
"4800 Northridge Road, Martinez",[-122.10127215   37.98833727]
"Little John Road, Copperopolis",[-120.64379066   37.99002769]
"400 Pamela Court, Burbank, Hayward",[-122.09231894   37.66701019]
"0 Austin Avenue, Jackson Triangle, Hayward",[-122.08538657   37.65127279]
"24700 Mohr Drive, Mount Eden, Hayward",[-122.11289564   37.64211371]
"26200 Regal Avenue, Harder - Tennyson, Hayward",[-122.08795167   37.64276642]
"600 Parkhaven Court, Pleasant Hill",[-122.09472882   37.97598876]
"400 Monti Circle, Pleasant Hill",[-122.0715756   37.9516228]
"4800 Messing Road, Valley Springs",[-120.83665166   38.20559945]
"2100 Mokelumne Drive East, Arnold",[-120.31878584   38.23530923]
"0 Carquinez Scenic Drive, Martinez",[-122.16045195   38.01956391]
"900 Pinon Drive, Martinez",[-122.12193006   38.00609188]
"200 John Glenn Drive, Concord",[-122.05684372   37.97944926]
"2900 Esperanza Drive, Concord",[-122.02406388   37.990246  ]
"1700 Landana Drive, Dana Estates, Concord",[-121.99989938   37.98134095]
"Tule Road, Arbuckle",[-121.98232459   39.02436214]
"1100 Studebaker Road, Saranap, Walnut Creek",[-122.08412856   37.88465398]
"500 Lakewood Circle, Walnut Creek",[-122.03805873   37.90351482]
"1100 Eden Plains Road, Brentwood",[-121.67390354   37.93517961]
"Unnamed Road, Arbuckle",[-122.00419447   39.19146154]
"Big Break Regional Trail, Oakley",[-121.71864321   38.01631638]
"1800 Castle Gate Road, Walnut Creek",[-122.05200308   37.86908418]
"1500 Detroit Avenue, Monument Corridor, Concord",[-122.04107668   37.96658226]
"1000 Irwin Court, Concord",[-122.01732929   37.95845421]
"1400 Bentley Street, Concord",[-122.04640181   37.94168748]
"1000 Norwich Place, Ygnacio Valley, Walnut Creek",[-122.031679     37.93062733]
"500 North San Carlos Drive, Walnut Creek",[-122.04795353   37.92001278]
"600 Castle Rock Road, Walnut Creek",[-122.01875208   37.9076858 ]
"14800 Byron Highway, Byron",[-121.60411276   37.84738023]
"1900 Dolphin Place, Discovery Bay",[-121.60822306   37.90588894]
"2500 Pittsburg-Antioch Highway, Antioch",[-121.82774854   38.01403487]
"2900 Los Altos Way, Antioch",[-121.83162119   37.99472563]
"2900 Roosevelt Lane, Antioch",[-121.79682483   37.99054497]
"1900 Cardiff Drive, Pittsburg",[-121.86753085   38.01410631]
"3200 Harbor Street, Pittsburg",[-121.88202548   38.0047971 ]
"Briones to Mount Diablo Regional Trail, Walnut Creek",[-122.03220774   37.88742754]
"800 Orange Blossom Way, Danville",[-121.97730576   37.79509228]
"500 Peru Avenue, Excelsior, San Francisco",[-122.427563     37.72638542]
"800 Bacon Street, Excelsior, San Francisco",[-122.41054242   37.72269605]
"0 Bangor Court, San Ramon",[-121.92815611   37.76575067]
"1300 Dutch Mill Drive, Danville",[-121.96412898   37.79760022]
"2800 Fountainhead Drive, San Ramon",[-121.9917758   37.7816225]
"500 Hemme Avenue, Alamo",[-122.03410218   37.83451005]
"1800 Lackland Drive, Alamo",[-121.96599562   37.84524671]
"2300 Range Road, Pittsburg",[-121.92687658   38.01680335]
"1100 Willow Pass Road, Bay Point",[-121.91641463   38.03213062]
"Port Chicago Highway, Bay Point",[-121.96843281   38.04244622]
"0 Curtis Street, Crocker-Amazon, San Francisco",[-122.4395932    37.71386427]
"Sand Hill Trail, Danville",[-121.95375006   37.82129581]
"South Monarch Road, San Ramon",[-121.91668212   37.76561896]
"Rolling Hills Trail, San Ramon",[-121.89382715   37.74720285]
"1000 Barkwood Court, Concord",[-121.96693105   37.93839144]
"5700 Alhambra Valley Road, Martinez",[-122.21278363   37.95148814]
"100 Zephyr, Hercules",[-122.28548136   38.01406468]
"100 Murray Street, Bernal Heights, San Francisco",[-122.420209     37.73419255]
"500 Brunswick Street, Crocker-Amazon, San Francisco",[-122.44458916   37.70968111]
"Historic Trail, Inner Sunset, San Francisco",[-122.45589481   37.75852948]
"1300 10th Avenue, Inner Sunset, San Francisco",[-122.4678544   37.7630497]
"1900 16th Avenue, Inner Sunset, San Francisco",[-122.47017735   37.7521236 ]
"600 39th Street, North & East, Richmond",[-122.33033759   37.940684  ]
"900 18th Street, Belding Woods, Richmond",[-122.35525761   37.94857133]
"Petrolite Street, Richmond",[-122.38821824   37.94020978]
"Regatta Boulevard, Marina Bay, Richmond",[-122.34230854   37.91218204]
"100 South 35th Street, Pullman, Richmond",[-122.3350515   37.9309025]
"1300 Contra Costa Drive, El Cerrito",[-122.29559597   37.92382881]
"1200 Norvell Street, El Cerrito",[-122.30678954   37.91712415]
"6800 Fairmount Avenue, El Cerrito",[-122.29807023   37.901644  ]
"200 Trinity Avenue, Kensington",[-122.2763025    37.90971877]
"2400 Arden Way, Cassell, San Jose",[-121.82756408   37.343669  ]
"7400 Latrobe Road, Shingle Springs",[-120.97058645   38.58225353]
"3100 Carlson Drive, Shingle Springs",[-120.95868435   38.68828133]
"1400 Sheridan Avenue, South Cirby, Roseville",[-121.25517169   38.72431094]
"1000 Windermere Avenue, Cresthaven, Roseville",[-121.29506833   38.72856686]
"500 Cascade Drive, Highland Reserve, Roseville",[-121.29928307   38.78331036]
"500 Twain Court, Pleasant Grove, Roseville",[-121.31980806   38.76719489]
"1200 High Street, Auburn",[-121.07692042   38.89242512]
"6400 Sunset Boulevard West, Roseville",[-121.37996565   38.86431806]
"3900 Witt Road, Auburn",[-121.06561431   38.9825281 ]
"5000 Deloris Road, Shingle Springs",[-120.94050827   38.63126621]
"100 Purple Martin Court, El Dorado Hills",[-121.01051343   38.676771  ]
"1200 Tree Top Court, Placerville",[-120.93410046   38.77411552]
"3200 Lincoln Highway, Camino",[-120.68745704   38.7515659 ]
"200 Hyde Street, Tenderloin, San Francisco",[-122.4158068   37.7831439]
"1000 Oak Court, Meadow Vista",[-121.02181697   39.00901211]
"4600 Pinita Court, Pollock Pines",[-120.62588381   38.73146542]
"200 Funston Road, Marina District, San Francisco",[-122.43170375   37.80682763]
"6200 Moabite Court, El Dorado, El Dorado County, California, United States, 95623, 4858",[-120.87717026   38.59166565]
"4100 Borders Drive, El Dorado Hills",[-121.04783018   38.66754869]
"100 Electric Street, Auburn",[-121.07242468   38.90724003]
"7800 Fox Hill Lane, Newcastle",[-121.14357367   38.8898399 ]
"700 Haight Street, Lower Haight, San Francisco",[-122.43895645   37.7695572 ]
"Park Road, Granite Bay",[-121.12436102   38.78639188]
"1300 Meadowvista Way, Maidu, Roseville",[-121.24154708   38.72906889]
"0 Dwinelle Court, Alameda",[-122.23788173   37.73884263]
"0 The Embarcadero, North Beach, San Francisco",[-122.39929405   37.7996886 ]
"1400 Powell Street, Russian Hill, San Francisco",[-122.4102145   37.7991445]
"1100 Taylor Street, Nob Hill, San Francisco",[-122.41344182   37.79317745]
"200 Sutter Street, Financial District, San Francisco",[-122.40492925   37.79031606]
"900 Pine Street, Lower Nob Hill, San Francisco",[-122.40991622   37.79108678]
"200 O'Farrell Street, Tenderloin, San Francisco",[-122.4119478   37.7857339]
"800 Mission Street, South of Market, San Francisco",[-122.41090937   37.77969947]
"900 Wembley Way, Manteca",[-121.2292186    37.81891087]
"700 Folsom Street, South of Market, San Francisco",[-122.4018235    37.78211563]
"5th Street, Treasure Island, San Francisco",[-122.330981     37.78442025]
"4700 18th Street, Eureka Valley, San Francisco",[-122.44405416   37.75899326]
"400 Burnett Avenue, Twin Peaks, San Francisco",[-122.44520755   37.75230697]
"3500 20th Street, Mission District, San Francisco",[-122.41915331   37.75949554]
"900 Sanchez Street, Dolores Heights, San Francisco",[-122.43042475   37.75426508]
"3900 25th Street, Noe Valley, San Francisco",[-122.42940773   37.74938673]
"600 28th Street, Noe Valley, San Francisco",[-122.4384641    37.74533548]
"100 Randall Street, Glen Park, San Francisco",[-122.42986705   37.7373654 ]
"2600 21st Street, Mission District, San Francisco",[-122.40624614   37.7592165 ]
"2900 24th Street, Mission District, San Francisco",[-122.41074667   37.75142556]
"0 Conkling Street, Silver Terrace, San Francisco",[-122.40207273   37.73425667]
"700 Bernal Heights Boulevard, Bernal Heights, San Francisco",[-122.41446817   37.74389213]
"100 Appleton Avenue, Bernal Heights, San Francisco",[-122.421551   37.737591]
"300 Osage Place, Lathrop",[-121.28845082   37.81844945]
"22100 East Mariposa Road, Escalon",[-121.02821801   37.77633785]
"100 Morningside Drive, Lakeshore, San Francisco",[-122.48704271   37.73213933]
"24500 South Union Road, Manteca",[-121.24874307   37.7162232 ]
"California 120, Manteca",[-121.2247007    37.78282541]
"25600 South Lammers Road, Tracy",[-121.49538729   37.7177624 ]
"20400 El Rancho Road, Tracy",[-121.36569967   37.78542271]
"1600 Etta Way, Tracy",[-121.44378527   37.75061373]
"200 East 6th Street, Tracy",[-121.42196883   37.73168167]
"25700 South Kasson Road, Tracy",[-121.2852573    37.71918056]
"300 Arballo Drive, Lakeshore, San Francisco",[-122.47975512   37.71931406]
"31500 South Corral Hollow Road, Tracy",[-121.4738349    37.60236488]
"2200 47th Avenue, Sunset District, San Francisco",[-122.50479538   37.74204762]
"Bayfront Expressway, Menlo Park",[-122.16575511   37.4877005 ]
"200 9th Avenue, Richmond District, San Francisco",[-122.46923485   37.78456731]
"600 Burrows Avenue, San Bruno",[-122.42191493   37.6224175 ]
"2200 Euclid Avenue, East Palo Alto",[-122.14601352   37.46702667]
"1200 San Mateo Drive, Menlo Park",[-122.18608226   37.44370142]
"1700 Oakdell Drive, Menlo Park",[-122.19416111   37.43507126]
"100 Fifth Avenue, South Fair Oaks, Redwood City",[-122.21049658   37.47226242]
"800 Easton Avenue, San Bruno",[-122.40988517   37.62359762]
"1500 Adrian Road, Ingold - Milldale, Burlingame",[-122.37126871   37.5920049 ]
"0 Park Lane, Brisbane",[-122.41642824   37.68748683]
"0 Orange Court, Hillside, Daly City",[-122.45616083   37.69753203]
"0 Longview Drive, Westlake, Daly City",[-122.49114294   37.6770287 ]
"0 Barry Lane, West Atherton, Atherton",[-122.21562293   37.44510358]
"0 Flood Circle, Lindenwood, Atherton",[-122.18663094   37.46675406]
"100 Clark Drive, Central San Mateo, San Mateo",[-122.34493967   37.5676754 ]
